result_dir,problem,algorithm,seed,run_dir,status,status_reason,n_evals,n_solutions,n_feasible_final,feasibility_ratio,pf_source,hv,igd,igd_plus,gd,spread,time_s
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,1244265337,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_009,ok,,30000,100,100,1.0,final_population_feasible_nondominated,782030.9681636358,nan,nan,nan,0.8386492555559548,53.01458850002382
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,2740186692,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_010,ok,,30000,100,100,1.0,final_population_feasible_nondominated,783913.2337576488,nan,nan,nan,0.87807278658566,50.2750935999793
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,3884972972,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_011,ok,,30000,100,100,1.0,final_population_feasible_nondominated,780257.2067860108,nan,nan,nan,0.907652311939138,50.745350099983625
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,829139639,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_012,ok,,30000,100,100,1.0,final_population_feasible_nondominated,781051.7749071452,nan,nan,nan,0.8898391078859235,50.37244659999851
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,2545567356,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_013,ok,,30000,100,100,1.0,final_population_feasible_nondominated,784037.3893435851,nan,nan,nan,0.9410659578665598,49.698982700007036
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,2718398101,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_014,ok,,30000,100,100,1.0,final_population_feasible_nondominated,782264.7033624891,nan,nan,nan,0.8411041148410683,50.15021520003211
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,176092387,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_015,ok,,30000,100,100,1.0,final_population_feasible_nondominated,781821.7838305528,nan,nan,nan,0.9615685137616203,50.30731550004566
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,3528048386,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_016,ok,,30000,100,100,1.0,final_population_feasible_nondominated,783253.0520480192,nan,nan,nan,0.9306520114186646,39.62936449999688
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,569531098,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_017,ok,,30000,100,100,1.0,final_population_feasible_nondominated,783964.8623659654,nan,nan,nan,0.7932890863309003,38.90095709997695
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,1337295874,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_018,ok,,30000,100,100,1.0,final_population_feasible_nondominated,784089.5287702872,nan,nan,nan,0.8265828821119997,39.22339350002585
