objective_group,problem,algorithm,metric,direction,n_runs,median,iqr,mean,std,min,max,n_unsupported,n_failed,rank,notes,algorithm_set_note
3_objective_algorithm_set,CRE31,NSGA3,spread,lower,21,0.1144888444620188,0.0148240532295132,0.1163187542467366,0.0125836300514337,0.0971942301638243,0.1414277505286948,0,0,3,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE31,MOEAD,spread,lower,21,0.420599934124983,0.3155808403096686,0.3595810273584072,0.1710600521333933,0.1084447881443756,0.6142630127884163,0,0,4,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE31,NSGA3,time_s,lower,21,3.0550297999870963,0.3862279999884777,3.1059268714244745,0.3302238517243118,2.4937235999968834,3.709712300042156,0,0,1,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE31,MOEAD,time_s,lower,21,8.97552400000859,0.5245291999890469,8.820022028565983,0.5870597386201785,7.7185768999625,9.591813400038518,0,0,2,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE31,MOSADE,time_s,lower,21,34.289652000006754,4.975449600024149,33.348105104764855,3.1914429170650656,26.778332600020804,38.25099720002618,0,0,3,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE31,NSGA2,time_s,lower,21,73.1271587999654,3.667761599994265,70.20525740476192,6.427624470194708,58.72474909998709,76.78367999999318,0,0,4,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,MOEAD,hv,higher,21,617063523350.7684,1402261722.5895996,616877311925.4541,1737179153.3912556,611760549406.2635,618882360322.9862,0,0,1,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,NSGA2,hv,higher,21,613826617641.3168,8207217824.533936,606707423317.7938,17524643366.869167,556714081533.025,619220163057.1406,0,0,2,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,NSGA3,hv,higher,21,605566833758.8931,26507115183.378174,591480432791.2468,30678762735.120907,498705670041.93024,611639439899.769,0,0,3,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,MOSADE,hv,higher,21,598911633499.2789,10593999261.170776,598675258660.2168,6196422430.656326,586884275368.1501,610237324562.8116,0,0,4,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,NSGA2,spread,lower,21,29.21490275075482,10.492124788913912,29.97526517422317,6.057142426377216,20.300448554561857,40.77166404231487,0,0,1,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,MOSADE,spread,lower,21,61.28463862989626,69.60914308837101,85.21277082413584,55.531581676503,20.64505489549199,216.6595416371991,0,0,2,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,MOEAD,spread,lower,21,72.9392331630696,6.876843071485254,71.90219087472721,4.690793182352021,64.023246660207,78.68488602211667,0,0,3,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,NSGA3,spread,lower,21,76.12635239361595,32.94381949052632,70.4844792283143,21.35890909932008,36.260652981751214,102.51636880887648,0,0,4,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,NSGA3,time_s,lower,21,2.7520510000176728,0.2011665999889373,2.751893676196536,0.1623331533549677,2.4247968000127003,3.025024399976246,0,0,1,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,MOEAD,time_s,lower,21,7.668036000046413,0.7207605000003241,7.688538385724227,0.4699380164048064,6.808819300029427,8.34121879999293,0,0,2,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,MOSADE,time_s,lower,21,21.99827829998685,3.585010099981446,22.614945914283105,3.2051949097210106,17.843747900042217,31.3430203999742,0,0,3,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE32,NSGA2,time_s,lower,21,60.84240339999087,3.593968400033191,59.32353616667179,5.098422205872704,50.34103010001127,67.01473409996834,0,0,4,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
