source_block,source_file,metric,metric_reported_as,n,bootstrap_seed,n_bootstrap,experiment_group,problem,variant,median,ci95_low,ci95_high,status,notes,constant_name,constant_level
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,7907271566843107286,5000,A4,DTLZ2_n_obj3,MOSADE,0.0495051493986529,0.0486489250894316,0.0502294786331406,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,16959696823884039594,5000,A4,DTLZ2_n_obj3,MOSADE_no_restart,17.99310645054662,17.98438292913662,18.000940191311578,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,4702955948385358556,5000,A4,DTLZ2_n_obj3,MOSADE_no_restart,0.0486009020743661,0.0480814946553883,0.0493560613772028,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,4064081281447667809,5000,A4,WFG4,MOSADE,6.242636381977554,6.240454000302422,6.243208676080582,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,5839058369385965044,5000,A4,WFG4,MOSADE,0.0061689861474173,0.0057281606851258,0.0062328307216596,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,12733663222793794998,5000,A4,WFG4,MOSADE_no_restart,6.249384087985972,6.247671106785196,6.250390471593797,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,8124565021510660489,5000,A4,WFG4,MOSADE_no_restart,0.0056481697641728,0.0054786544496319,0.0062047438164499,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,10311330536236742521,5000,A4,WFG9,MOSADE,9.878076433441954,9.875597699337629,9.880054401628776,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,15081044657218326235,5000,A4,WFG9,MOSADE,0.0095362910661892,0.0093657040897167,0.0097057543831362,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,2706500297641510722,5000,A4,WFG9,MOSADE_no_restart,9.875225777785523,9.874326969917805,9.878169586035805,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,2312457543258968526,5000,A4,WFG9,MOSADE_no_restart,0.0094676323362076,0.0093053914253422,0.0095956071971948,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,12630375309990420136,5000,A4,ZDT1,MOSADE,7.350925324306885,7.350916333365927,7.350931701201221,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,17882806983655568949,5000,A4,ZDT1,MOSADE,0.001885596226161,0.0018789315387377,0.0018912421675197,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,11959499603897500355,5000,A4,ZDT1,MOSADE_no_restart,7.350953573188637,7.350926148268634,7.350967503268174,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,17610995544106979259,5000,A4,ZDT1,MOSADE_no_restart,0.0018834032482885,0.001881863023372,0.0018913649966925,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,18133960989244138373,5000,A4,ZDT3,MOSADE,7.805978601379113,7.8059570064717985,7.805986725835425,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,12960942616685988353,5000,A4,ZDT3,MOSADE,0.0022660470897209,0.0022549331759915,0.0022759709285009,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,8967800018808782022,5000,A4,ZDT3,MOSADE_no_restart,7.806017058769419,7.805999468707345,7.806032248214483,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,7827441356669144068,5000,A4,ZDT3,MOSADE_no_restart,0.0022491512021987,0.0022397804528034,0.0022526186394824,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a5_domselect_ablation,tables\a5_domselect_ablation_by_run_clean.csv,hv,hv,31,18304344278811768150,5000,A5,DASCMOP7_difficulty7,MOSADE,110916.70043432672,110914.78165058616,110917.19094131682,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a5_domselect_ablation,tables\a5_domselect_ablation_by_run_clean.csv,igd,igd,31,14028971097083172526,5000,A5,DASCMOP7_difficulty7,MOSADE,0.0323345028880773,0.0317638227061274,0.0326067020680379,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
