experiment_group,problem,metric,direction,reference_variant,comparison_variant,effect_size_name,effect_size,effect_direction,p_value_holm,status,report_status
A1_supplementary,DTLZ2_n_obj3,gd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DTLZ2_n_obj3,gd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DTLZ2_n_obj3,spread,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DTLZ2_n_obj3,spread,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DTLZ2_n_obj3,spread,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,DTLZ2_n_obj3,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,-0.29448491155046824,comparison_better,9.162351489067078e-06,usable,usable
A1_supplementary,DTLZ2_n_obj3,time_s,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.38189386056191466,reference_better,1.991167664527893e-06,usable,usable
A1_supplementary,DTLZ2_n_obj3,time_s,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.5837669094693028,reference_better,3.91155481338501e-08,usable,usable
A1_supplementary,WFG4,hv,higher,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,hv,higher,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,hv,higher,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,igd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,igd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,igd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,igd_plus,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,igd_plus,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,gd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,gd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,gd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,spread,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,spread,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,spread,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG4,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.9375650364203955,reference_better,2.7939677238464355e-09,usable,usable
A1_supplementary,WFG4,time_s,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.9375650364203955,reference_better,2.7939677238464355e-09,usable,usable
A1_supplementary,WFG4,time_s,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.30697190426638915,reference_better,0.000131131149828434,usable,usable
A1_supplementary,WFG9,hv,higher,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,hv,higher,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,hv,higher,MOSADE_fixed_eps_initial,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,igd,lower,MOSADE,MOSADE_fixed_eps_initial,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
A1_supplementary,WFG9,igd,lower,MOSADE,MOSADE_eps_zero,cliffs_delta_comparison_minus_reference,0.0,no_effect,1.0,all_zero_differences_no_effect,usable
