worker_setting,problem,algorithm,seed,run_index,status,runtime_seconds,HV,IGD,IGD_PLUS,GD,spread,feasibility_ratio,n_evals,budget_expected,metrics_json_found,history_json_found,objectives_found,decisions_found,formal_runtime_included,excluded_reason,source_metrics_json,notes
1,ZDT3,NSGA2,2718398101,14,ok,363.5283855999587,7.803732711924062,0.005356776523087334,0.0018359471874648996,0.00013946249858620712,0.5569089406055618,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_014/metrics.json,
1,ZDT3,NSGA2,176092387,15,ok,361.6637964999536,7.8038361534690965,0.005535232650399817,0.001792433437262654,0.0001363209382778001,0.5648466123330357,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_015/metrics.json,
1,ZDT3,NSGA2,3528048386,16,ok,362.5225574000506,7.803376537801736,0.0058221882325625845,0.0021742926633614326,0.00020749174752014327,0.5407959901998883,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_016/metrics.json,
1,ZDT3,NSGA2,569531098,17,ok,363.0526971000945,7.803840568445724,0.005403144672085444,0.0017002971880102477,0.00019881875424405222,0.563763669241903,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_017/metrics.json,
1,ZDT3,NSGA2,1337295874,18,ok,362.0639253000263,7.803711751621809,0.005660965284140823,0.0018995805562759575,0.00017099901820918697,0.550291770074322,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_018/metrics.json,
1,ZDT3,NSGA2,612016888,19,ok,367.1904486999847,7.8038839948557985,0.005504832766462765,0.0017518915211369435,0.00014069152202708885,0.5489417156991825,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_019/metrics.json,
1,ZDT3,NSGA2,232150720,20,ok,369.7123510999372,7.803449325379685,0.0058938665332611264,0.00208354475085733,0.0002073818759066756,0.6057376723026452,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_020/metrics.json,
1,ZDT3,NSGA2,2324106676,21,ok,365.681547199958,7.80378134092299,0.005587458867326351,0.0018590229601324229,0.00014673757459510053,0.5431560318090362,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_021/metrics.json,
1,ZDT3,NSGA2,1658700540,22,ok,367.2286792000523,7.803463644257332,0.0056589461380385266,0.0020056490404513137,0.00019447968329649676,0.5578797909173532,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_022/metrics.json,
1,ZDT3,NSGA2,609942288,23,ok,366.2219916000031,7.803578467984998,0.005623653226791593,0.0020275732573340538,0.00021365497703494608,0.5540098489749221,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_023/metrics.json,
1,ZDT3,NSGA2,3405943863,24,ok,365.99992869992275,7.803315724131052,0.005741746508929974,0.002166786377318333,0.0001921807607832515,0.5443834800944013,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_024/metrics.json,
1,ZDT3,NSGA2,2257503667,25,ok,363.397998200031,7.803602976222168,0.0054926370067138516,0.0019057676888589732,0.00016497600623832483,0.5721209443981462,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_025/metrics.json,
1,ZDT3,NSGA2,4018327298,26,ok,362.89734419994056,7.80356778130279,0.005319045762580168,0.00188375081107873,0.0001561077418469737,0.5373278268208433,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_026/metrics.json,
1,ZDT3,NSGA2,2224437599,27,ok,361.6156059000641,7.803363117975526,0.005718850469606838,0.0020911243333471257,0.00017024297303675694,0.5709083646728742,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_027/metrics.json,
1,ZDT3,NSGA2,168388230,28,ok,361.6347731000278,7.80372130406295,0.005419389193172402,0.001886282979048999,0.00017287398037176097,0.5140260469327483,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_028/metrics.json,
1,ZDT3,NSGA2,911875363,29,ok,363.19764609995764,7.8035880135042275,0.005639687607734593,0.001862586087062239,0.00016692930723754434,0.5810017652735002,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_029/metrics.json,
1,ZDT3,NSGA2,3699796293,30,ok,363.4355596000096,7.803575935696071,0.005570231075918915,0.0019635602426940203,0.0001675406562065804,0.5741008912465203,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_030/metrics.json,
1,ZDT3,MOEAD,2684470948,0,ok,37.88979569997173,7.800914593882046,0.008734873382294133,0.0025752163790792736,0.00010207316871544149,0.8765061217098611,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_000/metrics.json,
1,ZDT3,MOEAD,4091952314,1,ok,37.686096200020984,7.801109654202163,0.008752597625246163,0.002562064344552733,9.643063716841182e-05,0.8710101053076292,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_001/metrics.json,
1,ZDT3,MOEAD,233227757,2,ok,38.35900830000173,7.801074242231023,0.008732873235403619,0.0025503912313497774,9.940569462233272e-05,0.8764210512380524,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_002/metrics.json,
1,ZDT3,MOEAD,3276785861,3,ok,38.071919100009836,7.801070356741131,0.008735916539503116,0.002563878211122907,9.75801946229027e-05,0.8765853839068927,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_003/metrics.json,
1,ZDT3,MOEAD,3644269654,4,ok,37.55731399997603,7.801223820648399,0.008743807357853574,0.0025380205889962964,9.516083354554844e-05,0.8762251735069689,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_004/metrics.json,
1,ZDT3,MOEAD,1206282609,5,ok,38.031929500051774,7.800961381248748,0.008726929272825494,0.002571837121328578,0.00010589386430662604,0.8707003475083737,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_005/metrics.json,
1,ZDT3,MOEAD,3543069911,6,ok,37.7585288999835,7.8011828015020965,0.008743830675912492,0.002549141535963531,9.76312811753443e-05,0.8706552136840271,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_006/metrics.json,
1,ZDT3,MOEAD,3479688010,7,ok,38.084452499984764,7.801120130198758,0.008754202130705222,0.0025652942515632083,9.665092282531388e-05,0.8756062887893282,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_007/metrics.json,
1,ZDT3,MOEAD,877132087,8,ok,37.95392080000602,7.800957387138752,0.008742601703947642,0.002559563866933998,0.00010137766922996623,0.8610635564487205,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_008/metrics.json,
1,ZDT3,MOEAD,1244265337,9,ok,38.18356190004852,7.801004087560991,0.008716937621892733,0.0025492922728742934,0.00010460317073374575,0.875961246552201,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_009/metrics.json,
1,ZDT3,MOEAD,2740186692,10,ok,38.44760590000078,7.800827447176696,0.008736198406975643,0.0025751525521707464,9.834950513054383e-05,0.8769555386091897,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_010/metrics.json,
1,ZDT3,MOEAD,3884972972,11,ok,38.25996159994975,7.801066212712349,0.008748834745939295,0.0025550514276283785,9.71884655302941e-05,0.8773273717953043,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_011/metrics.json,
1,ZDT3,MOEAD,829139639,12,ok,38.52208959998097,7.801108291277774,0.008732987094966772,0.0025406488352583863,9.725318406167142e-05,0.8709942808214158,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_012/metrics.json,
1,ZDT3,MOEAD,2545567356,13,ok,38.1988951000385,7.801087218335401,0.008736586260793388,0.002567465637424273,9.651672529792195e-05,0.875984983576604,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_013/metrics.json,
1,ZDT3,MOEAD,2718398101,14,ok,37.81566180009395,7.8010248591898,0.008752444270059553,0.0025559165553420814,9.690265106277603e-05,0.8706549494432161,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_014/metrics.json,
1,ZDT3,MOEAD,176092387,15,ok,38.419943999964744,7.801039755807505,0.008739082823886413,0.0025651113732559966,9.959685762038378e-05,0.8759971134979866,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_015/metrics.json,
1,ZDT3,MOEAD,3528048386,16,ok,38.36133740004152,7.8011269602256945,0.00873845811879497,0.0025579787788488502,0.0001001208541440809,0.8757274142503536,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_016/metrics.json,
1,ZDT3,MOEAD,569531098,17,ok,38.30525749991648,7.801148899852772,0.00873128732101749,0.002550801512453401,9.800305621991008e-05,0.8758295950673212,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_017/metrics.json,
1,ZDT3,MOEAD,1337295874,18,ok,38.066083999932744,7.80113853340669,0.008726527678750106,0.002539838405445874,0.00010023545716087233,0.8709849180699092,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_018/metrics.json,
1,ZDT3,MOEAD,612016888,19,ok,38.14311359997373,7.801023646764586,0.008733934136769657,0.00255420571568504,9.620677701802069e-05,0.8776040354399245,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_019/metrics.json,
1,ZDT3,MOEAD,232150720,20,ok,38.04322069999762,7.800984702383487,0.008749514876763908,0.002569450849197243,0.00010491512609130775,0.8785939463984063,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_020/metrics.json,
1,ZDT3,MOEAD,2324106676,21,ok,38.29755760007538,7.801180339719938,0.008740933813935111,0.0025366599383228215,9.505367834439175e-05,0.8761142248987003,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_021/metrics.json,
1,ZDT3,MOEAD,1658700540,22,ok,37.96864580002148,7.801089231671918,0.008729865362020441,0.0025490666465790273,9.855809577260701e-05,0.8768516835722231,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_022/metrics.json,
1,ZDT3,MOEAD,609942288,23,ok,38.23849529994186,7.801052002795095,0.008747110931294905,0.0025558344314991137,9.765129583384428e-05,0.8763821981080266,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_023/metrics.json,
1,ZDT3,MOEAD,3405943863,24,ok,38.22460379998665,7.8012353914870545,0.008750933436907124,0.0025288822141784103,9.344256971308372e-05,0.870856323176718,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_024/metrics.json,
1,ZDT3,MOEAD,2257503667,25,ok,38.2658602000447,7.800895243158223,0.008741628862798324,0.0025624467500231724,9.862330199475557e-05,0.8774255459176418,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_025/metrics.json,
1,ZDT3,MOEAD,4018327298,26,ok,38.16143059998285,7.8012090839858335,0.008749383059153652,0.002536684587362922,9.775812758676485e-05,0.8714182427552356,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_026/metrics.json,
1,ZDT3,MOEAD,2224437599,27,ok,38.20476009999402,7.801095030930501,0.008740552497431794,0.002580211854540307,9.640886198419666e-05,0.8709341873019278,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_027/metrics.json,
1,ZDT3,MOEAD,168388230,28,ok,38.50388490001205,7.8010625930099,0.008731456445054155,0.002544817951992993,9.944706597920849e-05,0.8709688833133096,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_028/metrics.json,
1,ZDT3,MOEAD,911875363,29,ok,38.473829000024125,7.800989651299127,0.008717479239281673,0.002555750345067676,9.913105617099613e-05,0.8664916653486803,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_029/metrics.json,
1,ZDT3,MOEAD,3699796293,30,ok,38.12583779997658,7.801056628752829,0.00873296854479791,0.00255041989956918,9.54886744579893e-05,0.8712571373951408,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/MOEAD/run_030/metrics.json,
1,ZDT3,NSGA3,2684470948,0,ok,15.241469600005075,7.802540251887005,0.006393737991331859,0.0018063513933087338,0.00014595467029734202,0.4818249271026428,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA3/run_000/metrics.json,
1,ZDT3,NSGA3,4091952314,1,ok,14.768968799966387,7.802596059013209,0.006393518791850483,0.0018071314088742775,0.00014715102133275367,0.4825813776454892,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA3/run_001/metrics.json,
1,ZDT3,NSGA3,233227757,2,ok,14.989685900043696,7.802549288107643,0.006361184626028645,0.001804560971132642,0.00014376435690928728,0.4816976047247103,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA3/run_002/metrics.json,
1,ZDT3,NSGA3,3276785861,3,ok,15.08271580003202,7.802543479170182,0.006421439976618704,0.0018069226430064466,0.00014864572687245172,0.48172889462057517,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA3/run_003/metrics.json,
1,ZDT3,NSGA3,3644269654,4,ok,15.093884499976411,7.802632374652069,0.006377328207542931,0.0018018566992618857,0.00014498285822675625,0.4855461669916873,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA3/run_004/metrics.json,
1,ZDT3,NSGA3,1206282609,5,ok,15.070709499996156,7.802638531686108,0.0063468088514151205,0.0017999358579998553,0.00014461027811979362,0.485022853375661,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA3/run_005/metrics.json,
1,ZDT3,NSGA3,3543069911,6,ok,14.729949899949133,7.802544997967383,0.006361721000933711,0.0018056455424741388,0.00014415377309283348,0.481321032936508,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA3/run_006/metrics.json,
