problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_single_S4,lower,paired,wilcoxon_signed_rank,185.0,0.2240869216620922,cliffs_delta_comparison_minus_reference,-0.18210197710718,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_uniform_strategy,lower,paired,wilcoxon_signed_rank,132.0,0.022097455337643623,cliffs_delta_comparison_minus_reference,-0.34235171696149846,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_eps_zero,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,-0.854318418314256,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_fixed_eps,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_fixed_eps_initial,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,-0.8397502601456815,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,114.0,0.007560359314084053,cliffs_delta_comparison_minus_reference,-0.3548387096774194,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,165.0,0.10662505030632019,cliffs_delta_comparison_minus_reference,0.19458896982310095,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_single_S1,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,time_s,MOSADE,MOSADE_single_S2,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,-0.9979188345473465,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
