problem,algorithm,metric,direction,n_runs,median,iqr,mean,std,min,max,n_unsupported,n_failed
WFG9,MOSADE_fixed_eps_initial,gd,lower,31,0.0011948671258157502,2.0692937094278583e-05,0.0011928866342660214,1.195721393915364e-05,0.0011687902516641778,0.0012136318694193286,0,0
WFG9,MOSADE_fixed_eps_initial,spread,lower,31,0.24813516868980418,0.017079978409263286,0.2487332595880766,0.011414627011329255,0.22002635456833872,0.2701158303793068,0,0
WFG9,MOSADE_fixed_eps_initial,time_s,lower,31,702.4907162000018,15.49815839999792,698.0924368387094,34.998750749574576,518.106861799999,719.6318978999989,0,0
ZDT1,MOSADE,hv,higher,31,7.350925324306885,3.811456901825494e-05,7.350911375790514,5.583425148879225e-05,7.350734672588025,7.351001221408442,0,0
ZDT1,MOSADE,igd,lower,31,0.0018855962261610732,1.6256684885967033e-05,0.0018860971927361614,1.9839395181076936e-05,0.0018428113386172202,0.0019349819206545878,0,0
ZDT1,MOSADE,igd_plus,lower,31,0.0012339967848856235,2.5518730814563795e-05,0.0012409903720464654,2.52262458663405e-05,0.0011989223335173106,0.0013247959214053053,0,0
ZDT1,MOSADE,gd,lower,31,0.00016621792284548744,5.661783263236054e-05,0.0005132392536763622,0.0011725773356368785,0.0001487092019544875,0.006227762121688026,0,0
ZDT1,MOSADE,spread,lower,31,0.14304765029866076,0.03052769862090804,0.20288060392184962,0.1673606543480232,0.13032081452862074,0.9385968388238067,0,0
ZDT1,MOSADE,time_s,lower,31,567.1098714,11.61165605000042,580.5187965645164,32.09067829823779,543.3661510000002,657.5929850000011,0,0
ZDT1,MOSADE_eps_zero,hv,higher,31,7.350925324306885,3.811456901825494e-05,7.350911375790514,5.583425148879225e-05,7.350734672588025,7.351001221408442,0,0
ZDT1,MOSADE_eps_zero,igd,lower,31,0.0018855962261610732,1.6256684885967033e-05,0.0018860971927361614,1.9839395181076936e-05,0.0018428113386172202,0.0019349819206545878,0,0
ZDT1,MOSADE_eps_zero,igd_plus,lower,31,0.0012339967848856235,2.5518730814563795e-05,0.0012409903720464654,2.52262458663405e-05,0.0011989223335173106,0.0013247959214053053,0,0
ZDT1,MOSADE_eps_zero,gd,lower,31,0.00016621792284548744,5.661783263236054e-05,0.0005132392536763622,0.0011725773356368785,0.0001487092019544875,0.006227762121688026,0,0
ZDT1,MOSADE_eps_zero,spread,lower,31,0.14304765029866076,0.03052769862090804,0.20288060392184962,0.1673606543480232,0.13032081452862074,0.9385968388238067,0,0
ZDT1,MOSADE_eps_zero,time_s,lower,31,652.7746375999996,91.72746065000138,620.4723830935483,64.17185671811897,400.03548520000186,683.7146689999972,0,0
ZDT1,MOSADE_fixed_eps_initial,hv,higher,31,7.350925324306885,3.811456901825494e-05,7.350911375790514,5.583425148879225e-05,7.350734672588025,7.351001221408442,0,0
ZDT1,MOSADE_fixed_eps_initial,igd,lower,31,0.0018855962261610732,1.6256684885967033e-05,0.0018860971927361614,1.9839395181076936e-05,0.0018428113386172202,0.0019349819206545878,0,0
ZDT1,MOSADE_fixed_eps_initial,igd_plus,lower,31,0.0012339967848856235,2.5518730814563795e-05,0.0012409903720464654,2.52262458663405e-05,0.0011989223335173106,0.0013247959214053053,0,0
ZDT1,MOSADE_fixed_eps_initial,gd,lower,31,0.00016621792284548744,5.661783263236054e-05,0.0005132392536763622,0.0011725773356368785,0.0001487092019544875,0.006227762121688026,0,0
ZDT1,MOSADE_fixed_eps_initial,spread,lower,31,0.14304765029866076,0.03052769862090804,0.20288060392184962,0.1673606543480232,0.13032081452862074,0.9385968388238067,0,0
