result_dir,problem,algorithm,seed,run_dir,status,status_reason,n_evals,n_solutions,n_feasible_final,feasibility_ratio,pf_source,hv,igd,igd_plus,gd,spread,time_s
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,3699796293,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_030,ok,,300046,182,182,1.0,archive,110912.23625215156,0.03176382270612748,0.022613297590942164,0.0008953820411980085,0.017575149464816055,257.05360429998836
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE_domselect,2684470948,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE_domselect/run_000,ok,,300064,182,182,1.0,archive,110913.38358385093,0.035324362813310056,0.0298523859743042,0.0013609287765018333,0.018815497331566632,694.6157023000123
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE_domselect,4091952314,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE_domselect/run_001,ok,,300064,182,182,1.0,archive,110912.37372716783,0.034809076380298565,0.02844550504346423,0.0012498905017420787,0.018148485317200504,711.8666550999915
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE_domselect,233227757,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE_domselect/run_002,ok,,300073,182,182,1.0,archive,110914.66875471092,0.033051381253156195,0.02651019292227823,0.001052298129661205,0.017161919419622144,716.756911799981
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE_domselect,3276785861,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE_domselect/run_003,ok,,300064,182,182,1.0,archive,110885.75030974741,0.043822501287937715,0.04046443254544482,0.0025519620971263357,0.01545170892163188,706.489603199996
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE_domselect,3644269654,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE_domselect/run_004,ok,,300064,182,182,1.0,archive,110915.61043819264,0.03447789379913019,0.025577790943669958,0.000979589985047224,0.0156874066987071,699.5610511999985
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE_domselect,1206282609,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE_domselect/run_005,ok,,300064,182,182,1.0,archive,110918.18768388568,0.040744803973240894,0.03607151579063666,0.0019437021656409927,0.01765277931456155,720.829412799998
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE_domselect,3543069911,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE_domselect/run_006,ok,,300064,182,182,1.0,archive,110909.00817501791,0.033482306951765656,0.026870844639597963,0.0011992561104621836,0.018609123213672717,668.1335181000177
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE_domselect,3479688010,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE_domselect/run_007,ok,,300073,182,182,1.0,archive,110897.55326352821,0.040397174268877546,0.03587778799225312,0.0019186992320919544,0.01802202710852581,715.0456342000107
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE_domselect,877132087,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE_domselect/run_008,ok,,300064,182,182,1.0,archive,110840.52969296311,0.042099098430757535,0.04001118900636321,0.0020883948583336246,0.01799210874396218,693.4174299000006
